                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                0.23316,                0.29936,                 0.3314,                0.77687,                0.99557,                 0.9887,                0.99362,                0.97953,                0.99554,                0.98821,                0.99328,                0.88667,                0.20748,                0.32491,                0.29376,                0.75894,              5.875e-05,              5.875e-05,              5.875e-05
                     28,                0.22941,                0.29274,                0.32566,                0.77857,                0.99626,                 0.9891,                0.99392,                0.98059,                0.99635,                0.98885,                0.99371,                0.88867,                0.20762,                0.31473,                0.28841,                0.75885,               5.71e-05,               5.71e-05,               5.71e-05
                     29,                0.22999,                0.29197,                0.32282,                0.77844,                0.99565,                0.98866,                  0.994,                0.97991,                0.99574,                0.98841,                0.99366,                0.88847,                 0.2085,                0.30128,                0.28693,                 0.7587,              5.545e-05,              5.545e-05,              5.545e-05
                     30,                0.22793,                0.29011,                0.31687,                0.77775,                0.99576,                0.98921,                0.99388,                0.98046,                0.99578,                0.98893,                 0.9937,                0.88826,                0.20454,                0.30776,                0.28224,                0.75848,               5.38e-05,               5.38e-05,               5.38e-05
                     31,                0.22707,                0.28428,                0.31252,                0.77827,                0.99593,                0.98935,                0.99396,                0.98141,                0.99593,                0.98914,                0.99375,                0.88689,                0.20277,                0.31333,                0.28073,                0.75852,              5.215e-05,              5.215e-05,              5.215e-05
                     32,                0.22632,                 0.2882,                 0.3125,                0.77784,                0.99566,                0.98948,                 0.9939,                0.98094,                0.99556,                0.98901,                0.99366,                0.89002,                0.20256,                0.32249,                0.27663,                0.75833,               5.05e-05,               5.05e-05,               5.05e-05
                     33,                0.22511,                0.28248,                0.30941,                0.77874,                0.99531,                0.98939,                0.99395,                0.98067,                0.99504,                0.98874,                0.99373,                0.88884,                0.20209,                 0.3117,                0.27633,                0.75849,              4.885e-05,              4.885e-05,              4.885e-05
                     34,                0.22317,                0.28094,                0.30513,                0.77634,                0.99591,                0.99002,                0.99402,                0.98065,                0.99549,                0.98946,                0.99377,                0.89122,                0.20238,                0.29786,                0.27238,                0.75828,               4.72e-05,               4.72e-05,               4.72e-05
                     35,                0.22298,                0.27818,                0.30292,                0.77832,                0.99515,                 0.9903,                0.99403,                 0.9811,                0.99515,                 0.9903,                0.99393,                0.88742,                0.20196,                0.31552,                0.27223,                 0.7583,              4.555e-05,              4.555e-05,              4.555e-05
                     36,                0.22186,                0.27873,                0.30062,                0.77683,                0.99618,                0.98954,                0.99411,                0.98104,                0.99618,                0.98954,                0.99392,                0.88806,                0.20152,                0.30565,                 0.2702,                0.75811,               4.39e-05,               4.39e-05,               4.39e-05
                     37,                0.22246,                 0.2786,                0.30007,                0.77559,                 0.9954,                0.98938,                0.99403,                0.98181,                0.99516,                0.98913,                0.99388,                0.89085,                0.20025,                0.29889,                0.26811,                0.75812,              4.225e-05,              4.225e-05,              4.225e-05
                     38,                0.22031,                0.27379,                0.29672,                0.77772,                0.99553,                0.98879,                0.99404,                0.98212,                0.99549,                0.98855,                0.99391,                0.89176,                0.19892,                0.29929,                 0.2668,                0.75776,               4.06e-05,               4.06e-05,               4.06e-05
                     39,                0.21766,                0.27153,                0.29267,                0.77769,                 0.9961,                0.98964,                  0.994,                0.98218,                0.99593,                0.98947,                0.99389,                0.88928,                0.19882,                0.31637,                0.26543,                0.75791,              3.895e-05,              3.895e-05,              3.895e-05
                     40,                0.21802,                0.27115,                0.29241,                0.77669,                0.99617,                0.98998,                0.99402,                0.98215,                0.99617,                0.98998,                0.99391,                 0.8891,                0.19816,                0.31716,                0.26245,                0.75773,               3.73e-05,               3.73e-05,               3.73e-05
                     41,                0.21635,                0.26768,                 0.2866,                0.77682,                0.99568,                0.99018,                0.99394,                0.98249,                0.99568,                0.99018,                0.99374,                0.89042,                0.19729,                0.30859,                0.26038,                0.75771,              3.565e-05,              3.565e-05,              3.565e-05
                     42,                0.21661,                0.26757,                0.28782,                0.77756,                0.99662,                 0.9896,                0.99404,                 0.9826,                0.99662,                 0.9896,                0.99395,                0.88979,                0.19633,                0.31105,                0.25904,                 0.7576,                3.4e-05,                3.4e-05,                3.4e-05
                     43,                0.21613,                0.26862,                0.28725,                0.77486,                0.99559,                0.98944,                0.99391,                0.98234,                0.99543,                0.98928,                0.99372,                0.89275,                0.19556,                0.29903,                0.25786,                0.75743,              3.235e-05,              3.235e-05,              3.235e-05
                     44,                0.21441,                0.26692,                0.28312,                0.77515,                0.99608,                0.99042,                0.99405,                0.98286,                0.99608,                0.99042,                0.99398,                0.89038,                0.19502,                 0.3095,                0.25566,                0.75746,               3.07e-05,               3.07e-05,               3.07e-05
                     45,                0.21481,                0.26368,                0.28207,                0.77526,                0.99609,                0.98961,                0.99399,                0.98282,                0.99602,                0.98916,                0.99377,                0.89012,                 0.1959,                0.30835,                0.25564,                0.75724,              2.905e-05,              2.905e-05,              2.905e-05
                     46,                0.21306,                0.26841,                0.27977,                0.77659,                0.99604,                0.98967,                0.99401,                0.98262,                0.99587,                0.98904,                0.99383,                0.89126,                0.19466,                0.30237,                0.25416,                0.75743,               2.74e-05,               2.74e-05,               2.74e-05
                     47,                0.21309,                0.26079,                0.27856,                0.77518,                0.99633,                0.98985,                0.99409,                0.98279,                0.99599,                0.98937,                0.99383,                0.89107,                0.19428,                0.30189,                0.25236,                0.75725,              2.575e-05,              2.575e-05,              2.575e-05
                     48,                0.21196,                0.26095,                0.27633,                0.77479,                0.99608,                0.98976,                0.99402,                0.98285,                0.99595,                0.98938,                 0.9938,                0.89173,                0.19406,                0.30558,                0.25113,                0.75718,               2.41e-05,               2.41e-05,               2.41e-05
                     49,                 0.2111,                0.26018,                0.27517,                0.77588,                0.99648,                0.98959,                 0.9941,                 0.9829,                0.99614,                0.98895,                0.99366,                0.89026,                 0.1945,                0.29511,                0.25086,                0.75724,              2.245e-05,              2.245e-05,              2.245e-05
                     50,                0.21138,                 0.2633,                0.27489,                0.77466,                0.99617,                0.98961,                0.99407,                0.98297,                  0.996,                0.98923,                0.99381,                0.89087,                0.19369,                0.31352,                 0.2502,                0.75723,               2.08e-05,               2.08e-05,               2.08e-05
                     51,                 0.2097,                0.25861,                0.27329,                0.77658,                 0.9962,                0.99026,                0.99406,                0.98303,                0.99611,                0.98985,                0.99393,                0.89053,                0.19343,                0.30326,                0.24795,                0.75699,              1.915e-05,              1.915e-05,              1.915e-05
                     52,                0.21075,                0.25914,                0.27168,                0.77454,                0.99621,                0.98979,                0.99411,                0.98314,                0.99621,                0.98979,                0.99401,                0.89191,                0.19267,                0.31107,                0.24774,                0.75706,               1.75e-05,               1.75e-05,               1.75e-05
                     53,                0.21044,                0.25812,                0.27071,                0.77509,                0.99614,                0.98956,                0.99404,                0.98325,                0.99614,                0.98956,                0.99401,                0.89045,                0.19253,                0.30929,                0.24646,                0.75691,              1.585e-05,              1.585e-05,              1.585e-05
                     54,                0.20924,                0.25798,                0.26991,                0.77361,                0.99634,                0.98959,                  0.994,                0.98331,                0.99622,                0.98918,                0.99374,                0.89005,                0.19239,                0.30476,                0.24568,                0.75701,               1.42e-05,               1.42e-05,               1.42e-05
                     55,                0.20929,                 0.2575,                0.26836,                0.77493,                0.99628,                 0.9899,                0.99408,                0.98323,                0.99628,                 0.9899,                0.99407,                0.89215,                0.19216,                0.30798,                0.24465,                0.75703,              1.255e-05,              1.255e-05,              1.255e-05
                     56,                0.20858,                0.25613,                0.26712,                0.77534,                 0.9959,                0.98943,                  0.994,                0.98318,                 0.9959,                0.98943,                0.99408,                0.89268,                0.19194,                0.30573,                0.24441,                0.75687,               1.09e-05,               1.09e-05,               1.09e-05
                     57,                 0.2076,                 0.2566,                0.26657,                0.77574,                0.99622,                0.98955,                0.99406,                0.98367,                0.99622,                0.98955,                0.99412,                0.89171,                 0.1914,                0.30234,                0.24369,                0.75697,               9.25e-06,               9.25e-06,               9.25e-06
                     58,                0.20699,                0.25403,                0.26424,                0.77728,                0.99612,                0.98962,                0.99414,                0.98382,                0.99612,                0.98962,                0.99414,                0.89121,                0.19096,                 0.3059,                0.24301,                0.75689,                7.6e-06,                7.6e-06,                7.6e-06
                     59,                0.20602,                0.25509,                0.26409,                0.77662,                0.99635,                0.98958,                0.99414,                 0.9836,                0.99635,                0.98958,                0.99414,                 0.8921,                0.19118,                0.30181,                0.24225,                0.75692,               5.95e-06,               5.95e-06,               5.95e-06
                     60,                 0.2067,                 0.2533,                0.26342,                0.77672,                0.99634,                0.98972,                0.99409,                0.98376,                0.99634,                0.98972,                0.99415,                0.89152,                0.19065,                0.30757,                0.24215,                0.75672,                4.3e-06,                4.3e-06,                4.3e-06
